Date,Account,Payee,Category,Memo,Amount
2025-04-16,Capital One,Coborn's Gas,Gas,,-34.74
2025-04-16,Capital One,Transfer : FREE CHECKING,Uncategorized,,226.47
2025-04-17,FREE CHECKING,Transfer : Capital One,Uncategorized,,-185.24
2025-04-17,Capital One,State Farm Insurance,State Farm Insurance,,-116.54
2025-04-17,Capital One,Sam's Club,Yearly Subscriptions,,-110.0
2025-04-17,Capital One,Amazon,Meagan Spending,,-43.73
2025-04-17,Capital One,Coborn's,Alchohol,,-25.26
2025-04-17,Capital One,Transfer : FREE CHECKING,Uncategorized,,185.24
2025-04-18,FREE CHECKING,Transfer : Capital One,Uncategorized,,-330.27
2025-04-18,Capital One,TST*PEOPLES ORGANIC - ED,Meagan Spending,,-24.75
2025-04-18,Capital One,Steam,Seth Spending,,-9.74
2025-04-18,Capital One,Amazon,Meagan Spending,,-7.33
2025-04-18,Capital One,Transfer : FREE CHECKING,Uncategorized,,330.27
